#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Thyatira batis	721163	PRJEB41953	685719	Animals	Insects	314.799	35.892	GCA_905147785.1	chromosome 1:LR990486.1; chromosome 2:LR990487.1; chromosome 3:LR990488.1; chromosome 4:LR990489.1; chromosome 5:LR990490.1; chromosome 6:LR990491.1; chromosome 7:LR990492.1; chromosome 8:LR990493.1; chromosome 9:LR990494.1; chromosome 10:LR990495.1; chromosome 11:LR990496.1; chromosome 12:LR990497.1; chromosome 13:LR990498.1; chromosome 14:LR990499.1; chromosome 15:LR990500.1; chromosome 16:LR990501.1; chromosome 17:LR990502.1; chromosome 18:LR990503.1; chromosome 19:LR990504.1; chromosome 20:LR990505.1; chromosome 21:LR990506.1; chromosome 22:LR990507.1; chromosome 23:LR990508.1; chromosome 24:LR990509.1; chromosome 25:LR990510.1; chromosome 26:LR990511.1; chromosome 27:LR990512.1; chromosome 28:LR990513.1; chromosome 29:LR990514.1; chromosome 30:LR990515.1; chromosome Z:LR990485.1; mitochondrion MT:LR990516.1	CAJHWV01	52	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7519923
Phalera bucephala	753216	PRJEB41948	685714	Animals	Insects	933.15	39.3405	GCA_905147815.1	chromosome 1:LR990610.1; chromosome 2:LR990611.1; chromosome 3:LR990612.1; chromosome 4:LR990613.1; chromosome 5:LR990614.1; chromosome 6:LR990615.1; chromosome 7:LR990616.1; chromosome 8:LR990617.1; chromosome 9:LR990618.1; chromosome 10:LR990619.1; chromosome 11:LR990620.1; chromosome 12:LR990621.1; chromosome 13:LR990622.1; chromosome 14:LR990623.1; chromosome 15:LR990624.1; chromosome 16:LR990625.1; chromosome 17:LR990626.1; chromosome 18:LR990627.1; chromosome 19:LR990628.1; chromosome 20:LR990629.1; chromosome 21:LR990630.1; chromosome 22:LR990631.1; chromosome 23:LR990632.1; chromosome 24:LR990633.1; chromosome 25:LR990634.1; chromosome 26:LR990635.1; chromosome 27:LR990636.1; chromosome 28:LR990637.1; chromosome 29:LR990638.1; chromosome W:LR990639.1; chromosome Z:LR990609.1; mitochondrion MT:LR990640.1	CAJHXA01	118	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7519921
Notodonta dromedarius	753204	PRJEB41926	684883	Animals	Insects	341.993	38.5649	GCA_905147325.1	chromosome 1:LR990159.1; chromosome 2:LR990161.1; chromosome 3:LR990162.1; chromosome 4:LR990163.1; chromosome 5:LR990164.1; chromosome 6:LR990165.1; chromosome 7:LR990166.1; chromosome 8:LR990167.1; chromosome 9:LR990168.1; chromosome 10:LR990169.1; chromosome 11:LR990170.1; chromosome 12:LR990171.1; chromosome 13:LR990172.1; chromosome 14:LR990173.1; chromosome 15:LR990174.1; chromosome 16:LR990175.1; chromosome 17:LR990176.1; chromosome 18:LR990177.1; chromosome 19:LR990178.1; chromosome 20:LR990179.1; chromosome 21:LR990180.1; chromosome 22:LR990181.1; chromosome 23:LR990182.1; chromosome 24:LR990183.1; chromosome 25:LR990184.1; chromosome 26:LR990185.1; chromosome 27:LR990186.1; chromosome 28:LR990187.1; chromosome 29:LR990188.1; chromosome 30:LR990189.1; chromosome Z:LR990160.1; mitochondrion MT:LR990190.1	CAJHVG01	146	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7520190
Endotricha flammealis	1101095	PRJEB42005	686060	Animals	Insects	473.949	36.7726	GCA_905163395.1	chromosome 1:LR990853.1; chromosome 2:LR990854.1; chromosome 3:LR990855.1; chromosome 4:LR990856.1; chromosome 5:LR990857.1; chromosome 6:LR990858.1; chromosome 7:LR990859.1; chromosome 8:LR990860.1; chromosome 9:LR990861.1; chromosome 10:LR990862.1; chromosome 11:LR990863.1; chromosome 12:LR990864.1; chromosome 13:LR990865.1; chromosome 14:LR990866.1; chromosome 15:LR990867.1; chromosome 16:LR990868.1; chromosome 17:LR990869.1; chromosome 18:LR990870.1; chromosome 19:LR990871.1; chromosome 20:LR990872.1; chromosome 21:LR990873.1; chromosome 22:LR990875.1; chromosome 23:LR990876.1; chromosome 24:LR990877.1; chromosome 25:LR990878.1; chromosome 26:LR990879.1; chromosome 27:LR990880.1; chromosome 28:LR990881.1; chromosome 29:LR990882.1; chromosome 30:LR990883.1; chromosome W:LR990874.1; chromosome Z:LR990852.1; mitochondrion MT:LR990884.1	CAJHZK01	41	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7519855
Mamestra brassicae	55057	PRJEB42032	686352	Animals	Insects	576.184	38.31	GCA_905163435.1	chromosome 1:LR990988.1; chromosome 2:LR990989.1; chromosome 3:LR990990.1; chromosome 4:LR990991.1; chromosome 5:LR990992.1; chromosome 6:LR990993.1; chromosome 7:LR990994.1; chromosome 8:LR990995.1; chromosome 9:LR990996.1; chromosome 10:LR990997.1; chromosome 11:LR990998.1; chromosome 12:LR990999.1; chromosome 13:LR991000.1; chromosome 14:LR991001.1; chromosome 15:LR991002.1; chromosome 16:LR991003.1; chromosome 17:LR991004.1; chromosome 18:LR991005.1; chromosome 19:LR991006.1; chromosome 20:LR991007.1; chromosome 21:LR991008.1; chromosome 22:LR991009.1; chromosome 23:LR991010.1; chromosome 24:LR991011.1; chromosome 25:LR991012.1; chromosome 26:LR991013.1; chromosome 27:LR991014.1; chromosome 28:LR991015.1; chromosome 29:LR991016.1; chromosome 30:LR991017.1; chromosome Z:LR990987.1; mitochondrion MT:LR991018.1	CAJHZQ01	43	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7524129
Noctua fimbriata	753202	PRJEB42035	686355	Animals	Insects	573.955	38.517	GCA_905163415.1	chromosome 1:LR990922.1; chromosome 2:LR990923.1; chromosome 3:LR990924.1; chromosome 4:LR990925.1; chromosome 5:LR990926.1; chromosome 6:LR990927.1; chromosome 7:LR990928.1; chromosome 8:LR990935.1; chromosome 9:LR990929.1; chromosome 10:LR990930.1; chromosome 11:LR990931.1; chromosome 12:LR990932.1; chromosome 13:LR990933.1; chromosome 14:LR990934.1; chromosome 15:LR990936.1; chromosome 16:LR990937.1; chromosome 17:LR990938.1; chromosome 18:LR990939.1; chromosome 19:LR990940.1; chromosome 20:LR990941.1; chromosome 21:LR990942.1; chromosome 22:LR990943.1; chromosome 23:LR990944.1; chromosome 24:LR990945.1; chromosome 25:LR990946.1; chromosome 26:LR990947.1; chromosome 27:LR990948.1; chromosome 28:LR990949.1; chromosome 29:LR990950.1; chromosome 30:LR990951.1; chromosome W:LR990952.1; chromosome Z:LR990921.1; mitochondrion MT:LR990953.1	CAJHZP01	52	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7519914
Notocelia uddmanniana	1594315	PRJEB42037	686357	Animals	Insects	794.124	38.6564	GCA_905163555.1	chromosome 1:LR991053.1; chromosome 2:LR991054.1; chromosome 3:LR991055.1; chromosome 4:LR991056.1; chromosome 5:LR991057.1; chromosome 6:LR991058.1; chromosome 7:LR991059.1; chromosome 8:LR991060.1; chromosome 9:LR991061.1; chromosome 10:LR991062.1; chromosome 11:LR991063.1; chromosome 12:LR991064.1; chromosome 13:LR991065.1; chromosome 14:LR991066.1; chromosome 15:LR991067.1; chromosome 16:LR991068.1; chromosome 17:LR991069.1; chromosome 18:LR991070.1; chromosome 19:LR991071.1; chromosome 20:LR991072.1; chromosome 21:LR991073.1; chromosome 22:LR991074.1; chromosome 23:LR991075.1; chromosome 24:LR991077.1; chromosome 25:LR991076.1; chromosome 26:LR991078.1; chromosome 27:LR991079.1; chromosome Z:LR991052.1; mitochondrion MT:LR991080.1	CAJHZS01	49	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7519916
Lymantria monacha	78897	PRJEB42031	686351	Animals	Insects	915.669	37.8705	GCA_905163515.1	chromosome 1:LR991082.1; chromosome 2:LR991083.1; chromosome 3:LR991084.1; chromosome 4:LR991085.1; chromosome 5:LR991086.1; chromosome 6:LR991087.1; chromosome 7:LR991088.1; chromosome 8:LR991089.1; chromosome 9:LR991090.1; chromosome 10:LR991091.1; chromosome 11:LR991092.1; chromosome 12:LR991093.1; chromosome 13:LR991094.1; chromosome 14:LR991095.1; chromosome 15:LR991096.1; chromosome 16:LR991097.1; chromosome 17:LR991098.1; chromosome 18:LR991099.1; chromosome 19:LR991100.1; chromosome 20:LR991101.1; chromosome 21:LR991102.1; chromosome 22:LR991103.1; chromosome 23:LR991104.1; chromosome 24:LR991105.1; chromosome 25:LR991106.1; chromosome 26:LR991107.1; chromosome 27:LR991108.1; chromosome Z:LR991081.1; mitochondrion MT:LR991109.1	CAJHZT01	31	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7519912
Dendrolagus dorianus notatus	225043	PRJEB39788	690434	Animals	Mammals	1.72721	44.4	GCA_904810745.1	-	CAJGIN01	2052	-	-	2021/01/25	2021/01/25	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321005
Notamacropus rufogriseus banksianus	88868	PRJEB39788	690434	Animals	Mammals	1.73597	46.2	GCA_904811085.1	-	CAJGJM01	1956	-	-	2021/01/25	2021/01/25	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321051
Cosmia trapezina	116126	PRJEB42026	686346	Animals	Insects	825.188	37.9067	GCA_905163495.1	chromosome 1:LR991020.1; chromosome 2:LR991021.1; chromosome 3:LR991022.1; chromosome 4:LR991023.1; chromosome 5:LR991024.1; chromosome 6:LR991025.1; chromosome 7:LR991026.1; chromosome 8:LR991027.1; chromosome 9:LR991028.1; chromosome 10:LR991029.1; chromosome 11:LR991030.1; chromosome 12:LR991031.1; chromosome 13:LR991032.1; chromosome 14:LR991033.1; chromosome 15:LR991034.1; chromosome 16:LR991035.1; chromosome 17:LR991036.1; chromosome 18:LR991037.1; chromosome 19:LR991038.1; chromosome 20:LR991039.1; chromosome 21:LR991040.1; chromosome 22:LR991041.1; chromosome 23:LR991042.1; chromosome 24:LR991043.1; chromosome 25:LR991044.1; chromosome 26:LR991045.1; chromosome 27:LR991046.1; chromosome 28:LR991047.1; chromosome 29:LR991048.1; chromosome 30:LR991049.1; chromosome 31:LR991050.1; chromosome Z:LR991019.1; mitochondrion MT:LR991051.1	CAJHZR01	63	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7519851
Isoodon auratus barrowensis	120736	PRJEB39788	690434	Animals	Mammals	1.81255	44.6	GCA_904811015.1	-	CAJGJO01	1943	-	-	2021/01/25	2021/01/25	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321056
Petrogale xanthopus xanthopus	54090	PRJEB39788	690434	Animals	Mammals	2.51005	45.5	GCA_904812355.1	-	CAJGOM01	2045	-	-	2021/01/25	2021/01/25	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321160
Isoodon obesulus obesulus	120740	PRJEB39788	690434	Animals	Mammals	1.97478	44.7	GCA_904813085.1	-	CAJGPP01	1993	-	-	2021/01/25	2021/01/25	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321238
Microperoryctes longicauda magnus	164530	PRJEB39788	690434	Animals	Mammals	1.35313	46	GCA_904814325.1	-	CAJGUH01	1953	-	-	2021/01/25	2021/01/25	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321353
Moricandia arvensis	180540	PRJEB39764	690758	Plants	Land Plants	758.71	36.8	GCA_905132765.1	-	CAJHQP01	15876	-	-	2021/01/25	2021/01/25	Scaffold	Institute for Plant Biochemistry, Heinrich-Heine-University	SAMEA7492780
Moricandia moricandioides	308297	PRJEB39764	690758	Plants	Land Plants	498.312	36	GCA_905132885.1	-	CAJHQQ01	9638	-	-	2021/01/25	2021/01/25	Scaffold	Institute for Plant Biochemistry, Heinrich-Heine-University	SAMEA7492781
Suillus weaverae	48593	PRJNA372929	372929	Fungi	Basidiomycetes	42.3412	47.9	GCA_016767475.1	-	JABCPT01	628	15917	15797	2021/01/28	2021/01/29	Scaffold	DOE Joint Genome Institute	SAMN05446545
Trichosurus arnhemensis	175811	PRJEB39788	690434	Animals	Mammals	1.91597	45.8	GCA_904811895.1	-	CAJGMQ01	2023	-	-	2021/01/25	2021/01/25	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321121
Petrogale concinna canescens	1936090	PRJEB39788	690434	Animals	Mammals	2.35948	45.5	GCA_904812245.1	-	CAJGOF01	2038	-	-	2021/01/25	2021/01/25	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321153
Petrogale lateralis hacketti	172272	PRJEB39788	690434	Animals	Mammals	2.03309	46.3	GCA_904812425.1	-	CAJGON01	2027	-	-	2021/01/25	2021/01/25	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321166
Petrogale brachyotis victoriae	1648428	PRJEB39788	690434	Animals	Mammals	2.35314	45.6	GCA_904812665.1	-	CAJGOV01	2048	-	-	2021/01/25	2021/01/25	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321199
Celastrina argiolus	203782	PRJEB41907	684866	Animals	Insects	499.114	36.081	GCA_905187575.1	chromosome 1:LR994577.1; chromosome 2:LR994578.1; chromosome 3:LR994579.1; chromosome 4:LR994580.1; chromosome 5:LR994581.1; chromosome 6:LR994582.1; chromosome 7:LR994584.1; chromosome 8:LR994585.1; chromosome 9:LR994586.1; chromosome 10:LR994587.1; chromosome 11:LR994588.1; chromosome 12:LR994589.1; chromosome 13:LR994590.1; chromosome 14:LR994591.1; chromosome 15:LR994592.1; chromosome 16:LR994593.1; chromosome 17:LR994594.1; chromosome 18:LR994595.1; chromosome 19:LR994596.1; chromosome 20:LR994597.1; chromosome 21:LR994598.1; chromosome 22:LR994599.1; chromosome 23:LR994600.1; chromosome 24:LR994601.1; chromosome 25:LR994602.1; chromosome Z:LR994583.1; mitochondrion MT:LR994603.1	CAJJIP01	28	-	-	2021/02/01	2021/02/01	Chromosome	Wellcome Sanger Institute	SAMEA7523268
Apotomis turbidana	1100916	PRJEB41899	684858	Animals	Insects	720.467	37.9835	GCA_905147355.1	chromosome 1:LR990281.1; chromosome 2:LR990282.1; chromosome 3:LR990283.1; chromosome 4:LR990284.1; chromosome 5:LR990285.1; chromosome 6:LR990286.1; chromosome 7:LR990287.1; chromosome 8:LR990289.1; chromosome 9:LR990288.1; chromosome 10:LR990290.1; chromosome 11:LR990291.1; chromosome 12:LR990292.1; chromosome 13:LR990293.1; chromosome 14:LR990294.1; chromosome 15:LR990295.1; chromosome 16:LR990296.1; chromosome 17:LR990297.1; chromosome 18:LR990298.1; chromosome 19:LR990299.1; chromosome 20:LR990300.1; chromosome 21:LR990301.1; chromosome 22:LR990302.1; chromosome 23:LR990305.1; chromosome 24:LR990303.1; chromosome 25:LR990304.1; chromosome 26:LR990306.1; chromosome 27:LR990307.1; chromosome Z:LR990280.1; mitochondrion MT:LR990308.1	CAJHVK01	44	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7520681
Blastobasis lacticolella	2561016	PRJEB41904	684863	Animals	Insects	577.084	39.7177	GCA_905147135.1	chromosome 1:LR990040.1; chromosome 2:LR990041.1; chromosome 3:LR990042.1; chromosome 4:LR990043.1; chromosome 5:LR990044.1; chromosome 6:LR990045.1; chromosome 7:LR990046.1; chromosome 8:LR990047.1; chromosome 9:LR990048.1; chromosome 10:LR990049.1; chromosome 11:LR990050.1; chromosome 12:LR990051.1; chromosome 13:LR990052.1; chromosome 14:LR990053.1; chromosome 15:LR990054.1; chromosome 16:LR990055.1; chromosome 17:LR990056.1; chromosome 18:LR990057.1; chromosome 19:LR990058.1; chromosome 20:LR990059.1; chromosome 21:LR990060.1; chromosome 22:LR990061.1; chromosome 23:LR990062.1; chromosome 24:LR990063.1; chromosome 25:LR990064.1; chromosome 26:LR990065.1; chromosome 27:LR990066.1; chromosome 28:LR990067.1; chromosome 29:LR990068.1; chromosome Z:LR990039.1; mitochondrion MT:LR990069.1	CAJHUS01	45	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7519826
Hypena proboscidalis	753189	PRJEB41920	684877	Animals	Insects	636.786	35.1939	GCA_905147285.1	chromosome 1:LR990127.1; chromosome 2:LR990128.1; chromosome 3:LR990129.1; chromosome 4:LR990130.1; chromosome 5:LR990131.1; chromosome 6:LR990132.1; chromosome 7:LR990133.1; chromosome 8:LR990134.1; chromosome 9:LR990135.1; chromosome 10:LR990136.1; chromosome 11:LR990137.1; chromosome 12:LR990138.1; chromosome 13:LR990139.1; chromosome 14:LR990140.1; chromosome 15:LR990141.1; chromosome 16:LR990142.1; chromosome 17:LR990143.1; chromosome 18:LR990144.1; chromosome 19:LR990145.1; chromosome 20:LR990146.1; chromosome 21:LR990147.1; chromosome 22:LR990148.1; chromosome 23:LR990149.1; chromosome 24:LR990150.1; chromosome 25:LR990151.1; chromosome 26:LR990152.1; chromosome 27:LR990153.1; chromosome 28:LR990154.1; chromosome 29:LR990155.1; chromosome 30:LR990156.1; chromosome Z:LR990126.1; mitochondrion MT:LR990157.1	CAJHVD01	56	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7520188
Bufo bufo	8384	PRJEB42168	686760	Animals	Amphibians	5044.76	44.5174	GCA_905171765.1	chromosome 1:LR991667.1; chromosome 2:LR991668.1; chromosome 3:LR991669.1; chromosome 4:LR991670.1; chromosome 5:LR991671.1; chromosome 6:LR991672.1; chromosome 7:LR991673.1; chromosome 8:LR991674.1; chromosome 9:LR991675.1; chromosome 10:LR991676.1; chromosome 11:LR991677.1; mitochondrion MT:LR991678.1	CAJIMN01	1307	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7521636
Lunasporangiospora selenospora	979761	PRJNA340476	340476	Fungi	Other Fungi	40.5356	47.8	GCA_015680635.1	-	JAABOA01	8632	11010	10951	2020/11/24	2021/01/04	Scaffold	DOE Joint Genome Institute	SAMN05720454
Mythimna impura	987985	PRJEB41924	684881	Animals	Insects	949.132	38.9916	GCA_905147345.1	chromosome 1:LR990340.1; chromosome 2:LR990341.1; chromosome 3:LR990342.1; chromosome 4:LR990343.1; chromosome 5:LR990344.1; chromosome 6:LR990345.1; chromosome 7:LR990346.1; chromosome 8:LR990347.1; chromosome 9:LR990348.1; chromosome 10:LR990349.1; chromosome 11:LR990350.1; chromosome 12:LR990351.1; chromosome 13:LR990352.1; chromosome 14:LR990353.1; chromosome 15:LR990354.1; chromosome 16:LR990355.1; chromosome 17:LR990356.1; chromosome 18:LR990357.1; chromosome 19:LR990358.1; chromosome 20:LR990359.1; chromosome 21:LR990360.1; chromosome 22:LR990361.1; chromosome 23:LR990362.1; chromosome 24:LR990363.1; chromosome 25:LR990364.1; chromosome 26:LR990365.1; chromosome 27:LR990366.1; chromosome 28:LR990367.1; chromosome 29:LR990368.1; chromosome 30:LR990369.1; chromosome W:LR990370.1; chromosome Z:LR990339.1; mitochondrion MT:LR990371.1	CAJHVM01	93	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7519913
Cryphonectria carpinicola	2725329	PRJNA644891	644891	Fungi	Ascomycetes	42.2336	52	GCA_014849955.1	-	JACWRQ01	1680	-	-	2020/10/05	2021/02/01	Scaffold	Swiss Federal Research Institute WSL	SAMN15481972
Suillus spraguei	5383	PRJNA333478	333478	Fungi	Basidiomycetes	87.0864	46.5	GCA_016800925.1	-	JABCPU01	1400	19496	19348	2021/01/29	2021/01/29	Contig	DOE Joint Genome Institute	SAMN05443048
Culex pipiens pallens	42434	PRJNA702155	702155	Animals	Insects	566.674	36.8	GCA_016801865.1	-	JADCQB01	1714	-	-	2021/02/02	2021/02/02	Contig	NCBI	SAMN16414976
Solanum sitiens	315349	PRJNA633104	633104	Plants	Land Plants	1245.02	34.8	GCA_016801875.1	-	JABWTJ01	1483	-	-	2021/02/02	2021/02/02	Scaffold	Cranfield University	SAMN14932980
Brachionus paranguensis	2599771	PRJNA692795	692795	Animals	Other Animals	106.205	27.7	GCA_016802215.1	-	JAESIX01	71	-	-	2021/02/02	2021/02/02	Contig	Sungkyunkwan University	SAMN17370530
Esox niger	184451	PRJNA634624	634624	Animals	Fishes	859.849	42.1	GCA_016801105.1	-	JACXGJ01	331883	-	-	2021/02/02	2021/02/02	Scaffold	INRA	SAMN15002828
Neovahlkampfia damariscottae	166956	PRJNA549687	549687	Protists	Other Protists	21.6834	27.4	GCA_016618085.1	-	JABLTG01	1621	-	-	2021/01/12	2021/01/12	Scaffold	University of Ostrava	SAMN12096216
Chlamydomonas schloesseri	2026947	PRJNA633871	633871	Plants	Green Algae	130.201	64.4	GCA_016834595.1	-	JAEHOD01	457	15571	16268	2021/02/08	2021/02/08	Contig	University of Edinburgh	SAMN14973063
Chlamydomonas incerta	51695	PRJNA633871	633871	Plants	Green Algae	129.236	66	GCA_016834605.1	-	JAEHOC01	453	16350	16957	2021/02/08	2021/02/08	Contig	University of Edinburgh	SAMN14973062
Polypterus senegalus	55291	PRJNA704032	704032	Animals	Fishes	3673.88	39.3268	GCA_016835505.1	chromosome 1:NC_053154.1/CM029055.1; chromosome 2:NC_053155.1/CM029056.1; chromosome 3:NC_053156.1/CM029057.1; chromosome 4:NC_053157.1/CM029058.1; chromosome 5:NC_053158.1/CM029059.1; chromosome 6:NC_053159.1/CM029060.1; chromosome 7:NC_053160.1/CM029061.1; chromosome 8:NC_053161.1/CM029062.1; chromosome 9:NC_053162.1/CM029063.1; chromosome 10:NC_053163.1/CM029064.1; chromosome 11:NC_053164.1/CM029065.1; chromosome 12:NC_053165.1/CM029066.1; chromosome 13:NC_053166.1/CM029067.1; chromosome 14:NC_053167.1/CM029068.1; chromosome 15:NC_053168.1/CM029069.1; chromosome 16:NC_053169.1/CM029070.1; chromosome 17:NC_053170.1/CM029071.1; chromosome 18:NC_053171.1/CM029072.1; mitochondrion MT:NC_004418.1/	JAATIS01	9856	29359	42243	2021/02/08	2021/02/09	Chromosome	NCBI	SAMN13737739
Esox masquinongy	126735	PRJNA634624	634624	Animals	Fishes	1138.22	41.8	GCA_016801175.1	-	JACXGI01	649832	-	-	2021/02/02	2021/02/02	Scaffold	INRA	SAMN15002827
Hypholoma fasciculare	72129	PRJNA672973	672973	Fungi	Basidiomycetes	49.7532	50.1	GCA_016801325.1	-	JAEKIV01	13051	-	-	2021/02/02	2021/02/02	Scaffold	University of Bristol	SAMN16584187
Leptodermis oblonga	1616479	PRJNA552650	552650	Plants	Land Plants	497.295	36.0884	GCA_016801395.1	linkage group LG1:CM028750.1; linkage group LG2:CM028751.1; linkage group LG3:CM028752.1; linkage group LG4:CM028753.1; linkage group LG5:CM028754.1; linkage group LG6:CM028755.1; linkage group LG7:CM028756.1; linkage group LG8:CM028757.1; linkage group LG9:CM028758.1; linkage group LG10:CM028759.1; linkage group LG11:CM028760.1	VMRK01	607	-	-	2021/02/02	2021/02/04	Chromosome	Chinese Academy of Sciences	SAMN12214982
Sceloporus tristichus	190870	PRJNA644186	644186	Animals	Reptiles	1815.77	41.2447	GCA_016801065.1	chromosome 1:CM028772.1; chromosome 2:CM028773.1; chromosome 3:CM028774.1; chromosome 4:CM028775.1; chromosome 5:CM028776.1; chromosome 6:CM028777.1; chromosome 7:CM028778.1; chromosome 8:CM028779.1; chromosome 9:CM028780.1; chromosome 10:CM028781.1; chromosome 11:CM028782.1	JACSCI01	6826	-	-	2021/02/02	2021/02/04	Chromosome	Univeristy of Washington	SAMN15450893
Colletotrichum eleusines	516970	PRJNA671855	671855	Fungi	Ascomycetes	53.5078	51.1	GCA_016807845.1	-	JADEZO01	15	-	-	2021/02/04	2021/02/04	Contig	Hubei Academy of Agricultural Sciences	SAMN16552423
Suaeda aralocaspica	224144	PRJNA428881	428881	Plants	Land Plants	451.677	34	GCA_016808085.1	-	PYUH01	4058	-	-	2021/02/04	2021/02/04	Scaffold	ABLife	SAMN08364410
Sapria himalayana	289637	PRJNA686196	686196	Plants	Land Plants	1276.27	25.4	GCA_016808135.1	-	JAEQBI01	128027	-	-	2021/02/04	2021/02/04	Scaffold	Harvard University	SAMN17108554
